title,price,condition,review,city,date,href
Apple MacBook Air 13 i5 128 SSD 4gb 2015m,355 €,Būklė: naudota,"Parduodu mazai naudota l.gero stovio
Apple MacBook Air 13 i5 128 SSD 4gb 2015 m",Kaunas,prieš 49 min.,https://skelbiu.lt//skelbimai/apple-macbook-air-13-i5-128-ssd-4gb-2015m-56663673.html
MacBook Air mid 2013 256ssd,250 €,Būklė: naudota,"Tvarkingas, yra deze ir originalus pakrovejas",Ukmergės r.,prieš 52 min.,https://skelbiu.lt//skelbimai/macbook-air-mid-2013-256ssd-46776929.html
MacBook Air 13 M12020,870 €,Būklė: nauja,"Nauji Macbook nešiojami kompiuteriai.

MacBook Air 13-inch 2020 M1 (A2337) 8CPU/7GPU/8GB/256GB.        870€

MacBook Air 13-inch 2020 M1 (A2337) 8CPU/8GPU/16GB/256GB       1070€

MacBook Pro 13-inch 2020 M1 (A2338) 8CPU/8GPU/8GB/512GB        ...",Kaunas,prieš 58 min.,https://skelbiu.lt//skelbimai/macbook-air-13-m12020-56804661.html
"MacBook i5 2.3 GHz, 6 GB RAM ,120 GB SSD, intel HD",189 €,Būklė: naudota,"1) Kompiuterio modelis- Macbook Pro 2011 Early,13 inch.
2) Procesorius -Intel® Core i5 2.3 Ghz
3) Vaizdo plokštė - Intel® HD Graphics 3000
4) Operatyvioji atmintis - 6 gb 1333 Mhz DDR3
5) Kietasis diskas - Kingston 120 GB SSD
6) Įkroviklis ...",Plungės r.,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-i5-2-3-ghz-6-gb-ram-120-gb-ssd-intel-hd-56027227.html
"MacBook Pro(13-inch,mid 2012) be ekrano",95 €,Būklė: naudota,"Ekranas yra sudauzytas.
2,5 GHz IntelCore i5
Ram 4 GB
HDD 100 GB
Intel HD Graphics 4000 1536 MB
isore gera,pakrovejas yra.",Šiauliai,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-mid-2012-be-ekrano-55765225.html
MacBook Pro 15,480 €,Būklė: naudota,"Macbook Pro 15 inch
Processor 2,36 GHz
Intel Core I7
8 GB 
DDR3
Graphics AMD Radeon  HD 6750M
Storage 1TB
MacOS Catalina  Version 10.15.7

173 baterijos ciklai 

Būklė 9 iš 10",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-pro-15-56636955.html
"MacBook Pro Retina, 13 inch, Mid 2014",350 €,Būklė: naudota,"Pilnai veikiantis Macbook Pro, 8GB Ram, 128 gb SSD, i5 CPU.
Bukle gera, vienas kampas turi pabrozdinimu, ekranas tvarkingas, komplekte originalus, tvarkingas pakrovejas. Dirba tyliai, termopasta keista pries pora menesiu. Baterija 87% laiko 4-5...","Kėdainių r., ...",prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-pro-retina-13-inch-mid-2014-56702489.html
"MacBook Pro Touchbar 13.3, 2018, i5, 8 GB, 256gb",740 €,Būklė: naudota,"Parduodu metus naudotą MacBook Pro kompiuterį. 

Kompiuterio apatinė korpuso dalis yra pabraižyta (žr. paveikslėlį).

Garantinis remontas kompiuteriui nebuvo atliktas.

13,3 - inch 2018m.
2,3 GHz keturių branduolių Intel Core i5 procesorius
8GB...",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/macbook-pro-touchbar-13-3-2018-i5-8-gb-256gb-55868163.html
Naujas MacBook Pro 13-inch 8gb 512gb,1 000 €,Būklė: nauja,"Naujas supakuotas (Europa) MacBook Pro 13-inch A2338 2020
M1 chip/SLV/8C CPU/8C GPU/8GB/512GB
Tarptautine 12men garantija
Galiu israsyti saskaita",Vilnius,prieš 1 val.,https://skelbiu.lt//skelbimai/naujas-macbook-pro-13-inch-8gb-512gb-56803653.html
"iPad Mini 16gb, tvarkingas, pilna komplektacija",75 €,Būklė: naudota,"Ipad Mini, vidine atmintis 16GB,
viskas veikia puikiai,
nuo Icloud atsijungta,
7.9 colio ekranas,
Komplekte dezute, pakrovejas, usb laidas.

Prireikus galimas siuntimas.",Kaunas,prieš 1 val.,https://skelbiu.lt//skelbimai/ipad-mini-16gb-tvarkingas-pilna-komplektacija-56720653.html
