title,price,condition,review,city,date,href
MacBook Air 2015,370 €,Būklė: naudota,"Puikios būklės. Parduodame kartu su pakrovikliu. Nemokamai atiduosime ir kompiuterio dėklą (plastikinis, permatomos juodos spalvos, prisikabina prie kompiuterio).","Vilnius, ...",gegužės 11 d.,https://skelbiu.lt//skelbimai/macbook-air-2015-54959283.html
"Apple MacBook Air (13-inch, 2017)",440 €,Būklė: naudota,Paruodamas MacBook puikios būklės.,Vilnius,gegužės 11 d.,https://skelbiu.lt//skelbimai/apple-macbook-air-13-inch-2017-53505585.html
Apple MacBook Air 2017,570 €,Būklė: naudota,"Naudotas merginos - Apple Macbook 2017 metų su dokumentais bei pilna komplektacija ( išsaugota net dėžutė ) .

MacBook Air Core i5 1.8 13 
1.8 GHz Core i5 (I5-5350U) 
Order MQD32LL/A* ModelA1466 (EMC 3178) 
Family 13-inch, 
RAM 8 GB* VRAM 1.5 GB...",Kaunas,gegužės  8 d.,https://skelbiu.lt//skelbimai/apple-macbook-air-2017-53696901.html
Apple MacBook Air 2017 Metų su dokumentais.,550 €,Būklė: naudota,"Dėžutė, dokumentais, orginalus pakrovėjas.

MacBook Air Core i5 1.8 13 
1.8 GHz Core i5 (I5-5350U) 
Order MQD32LL/A* ModelA1466 (EMC 3178) 
Family 13-inch, 
RAM 8 GB* VRAM 1.5 GB 
Storage 128GB SSD","Kaunas, ...",gegužės  2 d.,https://skelbiu.lt//skelbimai/apple-macbook-air-2017-metu-su-dokumentais-54853969.html
"MacBook Pro (Retina, 13-inch, Early 2015, 128gb)",460 €,Būklė: naudota,"Parduodamas Apple MacBook Pro Retina, 13inch, Early 2015, 128GB.  

Prie kompiuterio pridedamas originalus pakrovėjas, originali dėžė. 

Pats ekranas neturi jokių įbrežimų, vienintelis šiek tiek matomas įbrėžimas yra ant apatinės (nematomos)...",Kauno r.,balandžio 20 d.,https://skelbiu.lt//skelbimai/macbook-pro-retina-13-inch-early-2015-128gb-54390011.html
"MacBook Air 13"" 2017m. 128gb",550 €,Būklė: naudota,"Parduodu puikiai išlaikytą Macbook Air 13,3"" colių. 128 GB 2017 metų. Pirktas Lietuvoje Telia salone. Korpuso būklė kaip naujo - 9/10. Baterija laiko gerai. Mažai naudotas.","Vilnius, ...",balandžio 15 d.,https://skelbiu.lt//skelbimai/macbook-air-13-2017m-128gb-53790897.html
MacBook Air 11,190 €,Būklė: naudota,"Macbook Air 11inch mid 2012. Būklė puiki, naudojau studijoms, veikia puikiai.  + originalus pakrovėjas
Domina keitimas",Vilnius,balandžio  6 d.,https://skelbiu.lt//skelbimai/macbook-air-11-52918597.html
"MacBook Pro 13"" 2020 Touch Bar i5 1.4ghz 8gb 256gb",1 060 €,Būklė: nauja,"Visiškai naujas ir neišpakuotas kompiuteris.
Parametrai:
Space Grey spalva
Ekranas13 colių „Retina“
Procesorius 8 branduolių „Apple M1“ lustas
Atmintis 8GB
Talpa 256GB
Grafika 8 branduolių „Apple M1“ lustas
Kamera 720p FaceTime HD camera
Jungtys...",Kaunas,balandžio  4 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-2020-touch-bar-i5-1-4ghz-8gb-256gb-53607897.html
"MacBook Pro 13"" 2020 Touch Bar i5 1.4ghz 8gb 512gb",1 270 €,Būklė: nauja,"Naujas neišpakuotas MacBook Pro Silver spalvos.
Parametrai
Spalva Sidabrinė
Ekranas13 colių „Retina“
Procesorius 8 branduolių „Apple M1“ lustas
Atmintis 8GB
Talpa 512GB
Grafika 8 branduolių „Apple M1“ lustas
Kamera 720p FaceTime HD camera...",Kaunas,balandžio  4 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-2020-touch-bar-i5-1-4ghz-8gb-512gb-53608195.html
Apple MacBook Air 13 2013,250 €,Būklė: naudota,"Mylėtas ir prižiūrėtas senukas, parduodamas nes įsigijau naują.
Veikimo greitis geras, reiktu tik išsivalyti servise, manau pagreitėtų.
Niekas nekeista, turi kelis kosmetinius nusidėvėjimus, bet šiaip pakankamai gerai išsilaikęs.

Pakrovėjas...",Kaunas,kovo 29 d.,https://skelbiu.lt//skelbimai/apple-macbook-air-13-2013-54010809.html
Apple MacBook pro 16 i9 2019,2 265 €,Būklė: nauja,"Visiškai naujas, neišpakuotas su galiojančia tarptautine garantija. 
Intel core i9
16GB RAM
1 TB Storage",Vilnius,kovo 16 d.,https://skelbiu.lt//skelbimai/apple-macbook-pro-16-i9-2019-53361567.html
title,price,condition,review,city,date,href
MacBook Air 13 inch Rose Gold 2020,770 €,Būklė: nauja,"Idealios bukles
Be defektu
Bukle kaip naujo
Su garantija
Su pakroveju",Vilnius,prieš 3 val.,https://skelbiu.lt//skelbimai/macbook-air-13-inch-rose-gold-2020-56928067.html
MacBook Pro 13-inch 2017 Touch Bar,650 €,Būklė: naudota,"Parduodamas tvarkingas Macbook. Mažai naudotas. Buvo pakeistas akumuliatorius,
dabar yra tik 1 pakrovimo ciklas. Atmintis -8GB.  SSD 512 GB.",Vilnius,prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-2017-touch-bar-56858887.html
"Superkam Apple,hp,dell,acer ,Samsung Ir TT,taisom",230 €,Būklė: naudota,"NAUJAS LOMBARDAS SESKINES g.28(VIETOJ PASTO)tel.8-604-84444.ISPARDUOTUVES


-LOMBARDU TINKLAS VILNIUJE IR KAUNE.VISA PARA.PALUKANOS NUO 2%,TAISOME TELEFONUS,PLANSETES,KOMPIUTERIUS IR KITA-SUPERKAME VISKAS KAS TURI KOMERCINE VERTE...","Vilnius, ...",prieš 8 val.,https://skelbiu.lt//skelbimai/superkam-apple-hp-dell-acer-samsung-ir-tt-taisom-31125511.html
Visa Lietuva Skubiai pirksiu MacBook kompiuteri,230 €,Būklė: nauja,"Skubiai pirksiu MacBook kompiuteri
VlLNIUS KAUNAS PANEVEZYS UKMERGE JONAVA MARIJAMPOLE ALYTUS
nauja / naudota M1 

Macbook pro 13 2015 2016 2017 2018 2019 2020
Macbook pro 15 2015 2016 2017 2018 2019 2020 su icloud gali buti
Macbook air 13 2018...",Vilnius,prieš 8 val.,https://skelbiu.lt//skelbimai/visa-lietuva-skubiai-pirksiu-macbook-kompiuteri-33226385.html
"MacBook Air 2014, 13"", 4gb ,128 GB",230 €,Būklė: naudota,"Macbook Air 2014, 13"", 4GB RAM, Hard disk 128 GB. Dual core Intel core I5, 1.4 ghz. Naudotas, bet geros būklės, yra tik keli nežymūs įbrėžimai, pakrovimo laidas yra. Akumuliatorius laiko gerai, 455 ciklai.",Vilnius,prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-air-2014-13-quot-4gb-128-gb-56694735.html
"Naujas MacBook Pro 13, M1 8gb 256gb SSD +garantija",1 099 €,Būklė: nauja,"Parduodamas naujas MacBook Pro 13 M1, 8GB, 256GB SSD, Space Gray spalvos su pratęsta 1m. garantija. Supakuotas, iš iDeal.
Nesiunčiu. Kaunas arba Klaipėda.","Kaunas, ...",prieš 2 d.,https://skelbiu.lt//skelbimai/naujas-macbook-pro-13-m1-8gb-256gb-ssd-garantija-56887227.html
MacBook Pro 13 256 GB 2017,770 €,Būklė: naudota,"MacBook Pro 13"", 256 GB, 2017 metu modelis, pirktas Telia. Puikios buklės, prižiūrėtas, naudotas ofiso darbui. Yra pakuotė ir pakrovėjas. Mažas įkrovimų ciklų skaičiuos (Cycle Count 192).",Vilnius,prieš 49 min.,https://skelbiu.lt//skelbimai/macbook-pro-13-256-gb-2017-56386719.html
"MacBook pro 13-inch, 2017 128gb",600 €,Būklė: naudota,"Parduodamas prižiūrėtas ir tik darbui word, excel programomis naudotas Macbook pro 13-inch, 2017 128GB.

Kompiuterio stovis puikiai matomas nuotraukose.
Kartu su kompiuteriu pridedama dėžė, pakrovėjas.",Vilnius,prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-2017-128gb-56910555.html
"Apple MacBook Pro 13"" (TB) M1, 16gb, 512gb + extra",1 590 €,Būklė: naudota,"Parduodu birželio 18 d. pirktą Apple MacBook Pro 13"" (Touch Bar) M1, 16GB, 512GB su 12 mėn. garantija.
Prie kompiuterio taipogi yra pridedami:
Satechi USB-C 5 Multiport Passthrough Space Gray adapteris
Rankų darbo veltinio ir natūralios...",Vilnius,rugpjūčio 19 d.,https://skelbiu.lt//skelbimai/apple-macbook-pro-13-quot-tb-m1-16gb-512gb-extra-56733303.html
MacBook Pro 13-inch 128gb 2017,750 €,Būklė: naudota,"Parduodamas Apple firmos labai mažai naudotas kompiuteris. Veikia puikiai, visa informacija pateikta nuotraukose. Jokių defektų neturi. 
Daugiau reikalingos informacijos telefonu.",Vilnius,prieš 2 d.,https://skelbiu.lt//skelbimai/macbook-pro-13-inch-128gb-2017-56888037.html
"Parduodu MacBook Pro 15"" retina Mid 2015 16 GB",590 €,Būklė: naudota,"Paduodu MacBook Pro 15"" retina Mid 2015  
RAM 16 GB 
SSD 250 GB

Baterija laiko normaliai.
Viskas veikia. 
Pridedu nešiojimo dėklą.

Geriausias visų laikų laptopas. Puikus pasirinkimas darbui ir studijoms.",Vilnius,rugpjūčio 20 d.,https://skelbiu.lt//skelbimai/parduodu-macbook-pro-15-retina-mid-2015-16-gb-56787337.html
MacBook Air 2015,300 €,Būklė: naudota,Tvarkingas kompiuteris. Naudojosi mergina. Visuomet buvo saugojamas. Turi šiek tiek pabraižymų. Parametrai matomi nuotraukose. Įrašyta macOS Big Sur operacinė sistema. Kaina 300 EUR.,"Kaunas, ...",prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-air-2015-56871763.html
MacBook Air 13-inch 256gb (su garantija),699 €,Būklė: naudota,"Parduodamas prižiūrėtas Macbook Air 13-inch 2017 kompiuteris su vidine 256 GB atmintimi. Pradinė pirkimo kaina siekė beveik 1400 Eur. 

Macbookas pirktas 2018 metais, papildomai įsigyta 2 metų garantija, kuri gedimo atveju padėtų išvengti...","Vilnius, ...",prieš 1 d.,https://skelbiu.lt//skelbimai/macbook-air-13-inch-256gb-su-garantija-56891895.html
